Column Name,Description,Data Type (Raw),Data Type (Clean),Sample Values,Missing Values,Business Relevance
product_id,Unique identifier for each Amazon product listing,string,string,B07JW9H4J1,None,"Primary key; used for deduplication, joins, and tracking products across tables"
product_name,Full product title as listed on Amazon,string,string,"Wayona Nylon Braided USB Cable, boAt Deuce USB 300",None,"Enables product search, NLP analysis, brand extraction"
category,Hierarchical product category separated by | pipe characters,string,string (cleaned),Computers&Accessories|Cables&Accessories|USBCables,None,"Segmentation analysis, category-level performance comparisons"
category_clean,Human-readable version of category with > separators (engineered),string,string,Computers&Accessories > Cables&Accessories > USBCables,None,Better readability for reporting and dashboards
main_category,Top-level product category extracted from category hierarchy (engineered),string,string,Computers&Accessories,None,"High-level segmentation, category trend analysis"
discounted_price,Selling price of the product in Indian Rupees (₹) after discount,string (₹ prefixed),float,399.0,None,"Revenue modelling, price elasticity analysis, customer segmentation"
actual_price,Original MRP of the product in Indian Rupees (₹) before discount,string (₹ prefixed),float,1099.0,None,"Baseline for discount calculation, perceived value analysis"
discount_percentage,Percentage discount offered on the product,string (% suffixed),float,64.0,None,"Promotional strategy analysis, identifying heavily discounted products"
computed_discount_pct,Discount % computed from actual_price and discounted_price as validation (engineered),float,float,63.1,None,"Data quality check — flags rows where stated discount doesn't match computed value"
savings,Absolute savings in ₹ = actual_price - discounted_price (engineered),float,float,700.0,None,"Customer value perception, promotional impact quantification"
discount_tier,Categorical band of discount level (engineered),string,string,Extreme (70%+),None,"Quick segmentation for marketing tiers — Low / Moderate / High / Very High / Extreme"
price_segment,Price category of the discounted product (engineered),string,string,Budget,None,"Audience targeting — Budget / Mid-range / Premium / Luxury"
rating,Average customer star rating (out of 5),string (may contain text),float,4.2,None,"Product quality proxy, recommendation engine input, seller performance"
rating_count,Total number of customer ratings received,string (comma-formatted),int,24269,2 (filled with 0),"Popularity and social proof indicator, statistical reliability of rating"
high_rating,Boolean flag — True if rating >= 4.0 (engineered),–,boolean,True,None,"Filter for high-quality products, quick reporting segmentation"
popular_product,Boolean flag — True if rating_count exceeds 75th percentile (engineered),–,boolean,True,None,"Identifies viral/bestseller products for marketing focus"
value_score,Composite score = rating × log(rating_count + 1) (engineered),–,float,52.314,None,"Balances quality and popularity; useful for product ranking and recommendation scoring"
about_product,Pipe-separated bullet-point product description from the listing,string,string,High Compatibility: Compatible with iPhone 12...,None,"Feature extraction, NLP, product classification, search optimisation"
user_id,Pipe-separated list of Amazon user IDs who reviewed the product,string,string,AG3D6O4STAQKAY2UVGEUV46KN35Q,None,"Can be split to get individual reviewers; useful for reviewer behaviour analysis"
user_name,Pipe-separated list of reviewer display names,string,string,"Manav, Adarsh gupta, Sundeep",None,"Reviewer demographics (informal), sentiment analysis attribution"
review_id,Pipe-separated list of unique review IDs on Amazon,string,string,R3HXWT0LRP0NMF,None,"Review-level joins, tracking review authenticity, deduplication"
review_title,Pipe-separated short review titles submitted by customers,string,string,"Satisfied, Charging is really fast",None,"Quick sentiment tagging, keyword analysis, summary generation"
review_content,Pipe-separated full review texts from customers,string,string,Charging is really fast and good product...,None,"Rich NLP source — sentiment analysis, topic modelling, fake review detection"
img_link,URL to the product image hosted on Amazon CDN,string,string,https://m.media-amazon.com/images/...,None,"Used in UI/dashboards, visual product search, image-based ML models"
product_link,URL to the Amazon product detail page,string,string,https://www.amazon.in/Wayona-Braided.../dp/B07JW9H4J1,None,"Direct product lookup, web scraping pipeline anchor, affiliate tracking"
